f:\Desktop\University\Exeter\ECMM451 Final Year Project\Final_Year_Project\maze_env\envs\mazelib.py:32: DeprecationWarning: Seeding based on hashing is deprecated
since Python 3.9 and will be removed in a subsequent version. The only
supported seed types are: None, int, float, str, bytes, and bytearray.
  random.seed(seed)
f:\Desktop\University\Exeter\ECMM451 Final Year Project\Final_Year_Project\maze_env\envs\mazelib.py:32: DeprecationWarning: Seeding based on hashing is deprecated
since Python 3.9 and will be removed in a subsequent version. The only
supported seed types are: None, int, float, str, bytes, and bytearray.
  random.seed(seed)
f:\Desktop\University\Exeter\ECMM451 Final Year Project\Final_Year_Project\maze_env\envs\mazelib.py:32: DeprecationWarning: Seeding based on hashing is deprecated
since Python 3.9 and will be removed in a subsequent version. The only
supported seed types are: None, int, float, str, bytes, and bytearray.
  random.seed(seed)
Evaluation Reward at Epoch 57. Obs: -0.992, Exp: -8.9
Evaluation Reward at Epoch 58. Obs: -0.992, Exp: -8.9
Evaluation Reward at Epoch 59. Obs: -0.989, Exp: -8.9
Evaluation Reward at Epoch 60. Obs: -0.989, Exp: -9.0
Evaluation Reward at Epoch 61. Obs: -0.992, Exp: -0.3
Test Mazes results: [0, 0, 0]
Evaluation Reward at Epoch 62. Obs: -0.989, Exp: -0.4
Evaluation Reward at Epoch 63. Obs: -0.989, Exp: -9.0
Evaluation Reward at Epoch 64. Obs: -0.992, Exp: -8.9
Evaluation Reward at Epoch 65. Obs: -0.992, Exp: -8.8
Evaluation Reward at Epoch 66. Obs: -0.992, Exp: -8.9
Evaluation Reward at Epoch 67. Obs: -0.989, Exp: -9.0
Evaluation Reward at Epoch 68. Obs: -0.992, Exp: -8.8
Evaluation Reward at Epoch 69. Obs: -0.992, Exp: -8.9
Evaluation Reward at Epoch 70. Obs: -0.992, Exp: -8.9
Evaluation Reward at Epoch 71. Obs: -0.992, Exp: -8.8
Test Mazes results: [0, 0, 0]
Evaluation Reward at Epoch 72. Obs: -0.992, Exp: -8.9
Evaluation Reward at Epoch 73. Obs: -0.992, Exp: -8.9
Evaluation Reward at Epoch 74. Obs: -0.989, Exp: -8.9
Evaluation Reward at Epoch 75. Obs: -0.992, Exp: -9.0
Evaluation Reward at Epoch 76. Obs: -0.992, Exp: -8.9
Evaluation Reward at Epoch 77. Obs: -0.992, Exp: -9.0
Evaluation Reward at Epoch 78. Obs: -0.989, Exp: -8.8
Evaluation Reward at Epoch 79. Obs: -0.992, Exp: -8.9
Evaluation Reward at Epoch 80. Obs: -0.992, Exp: -8.8
Evaluation Reward at Epoch 81. Obs: -0.989, Exp: -9.0
Test Mazes results: [0, 0, 0]
Evaluation Reward at Epoch 82. Obs: -0.989, Exp: -8.9
Evaluation Reward at Epoch 83. Obs: -0.992, Exp: -9.0
Evaluation Reward at Epoch 84. Obs: -0.992, Exp: -9.2
Evaluation Reward at Epoch 85. Obs: -0.992, Exp: -0.5
Evaluation Reward at Epoch 86. Obs: -0.992, Exp: -8.9
Evaluation Reward at Epoch 87. Obs: -0.989, Exp: -8.9
Evaluation Reward at Epoch 88. Obs: -0.989, Exp: -9.0
Evaluation Reward at Epoch 89. Obs: -0.992, Exp: -9.0
Evaluation Reward at Epoch 90. Obs: -0.992, Exp: -0.4
Evaluation Reward at Epoch 91. Obs: -0.992, Exp: -8.9
Test Mazes results: [0, 0, 0]
Evaluation Reward at Epoch 92. Obs: -0.989, Exp: -8.8
Evaluation Reward at Epoch 93. Obs: -0.989, Exp: -8.9
Evaluation Reward at Epoch 94. Obs: -0.989, Exp: -8.9
Evaluation Reward at Epoch 95. Obs: -0.989, Exp: -8.7
Evaluation Reward at Epoch 96. Obs: -0.989, Exp: -8.9
Evaluation Reward at Epoch 97. Obs: -0.992, Exp: -9.0
Evaluation Reward at Epoch 98. Obs: -0.992, Exp: -9.0
Evaluation Reward at Epoch 99. Obs: -0.992, Exp: -8.8
Evaluation Reward at Epoch 100. Obs: -0.989, Exp: -8.9
Evaluation Reward at Epoch 101. Obs: -0.992, Exp: -8.9
Test Mazes results: [0, 0, 0]
Evaluation Reward at Epoch 102. Obs: -0.992, Exp: -9.0
Evaluation Reward at Epoch 103. Obs: -0.989, Exp: -0.4
Evaluation Reward at Epoch 104. Obs: -0.992, Exp: -0.1
Evaluation Reward at Epoch 105. Obs: -0.989, Exp: -8.8
Evaluation Reward at Epoch 106. Obs: -0.989, Exp: -8.9
Evaluation Reward at Epoch 107. Obs: -0.989, Exp: -8.9
Evaluation Reward at Epoch 108. Obs: -0.992, Exp: -0.5
Evaluation Reward at Epoch 109. Obs: -0.992, Exp: -8.9
Evaluation Reward at Epoch 110. Obs: -0.992, Exp: -9.0
